layer_loc, layername, MSE, MAE, max_m, min_m, max_n, min_n,norm MSE, norm MAE, norm_max_m, norm_min_m, norm_max_n, norm_min_n 
129 ,model/re_lu_5/Relu;model/expanded_conv_2/expand/BatchNorm/FusedBatchNormV3;model/expanded_conv_2/depthwise/BatchNorm/FusedBatchNormV3;model/expanded_conv_2/depthwise/depthwise;model/expanded_conv_2/expand/Conv2D, 3329.8840155380335, 28.761682513914657, 127.0, -128.0, -59.0, -128.0, 127.24434661865234, 5.622364044189453, 49.84767150878906, 0.0, 13.48819351196289, 0.0
130 ,model/re_lu_6/Relu;model/expanded_conv_2/depthwise/BatchNorm/FusedBatchNormV3;model/expanded_conv_2/depthwise/depthwise, 8056.66868622449, 48.16074327458256, 127.0, -128.0, 4.0, -128.0, 307.08563232421875, 9.402539253234863, 49.78427505493164, 0.0, 25.77068328857422, 0.0
131 ,model/expanded_conv_2/project/BatchNorm/FusedBatchNormV3;model/expanded_conv_3/squeeze_excite/Conv/Conv2D;model/expanded_conv_2/project/Conv2D1, 2828.081420068027, 37.161989795918366, 127.0, -128.0, 25.0, -65.0, 2602.879638671875, 35.65168762207031, 151.57870483398438, -93.05780792236328, 53.724098205566406, -32.618202209472656
132 ,model/expanded_conv_2/Add/add, 7145.434576955782, 75.59954294217687, 127.0, -128.0, 31.0, -61.0, 7452.99169921875, 77.20939636230469, 150.1302947998047, -110.2998046875, 52.08601760864258, -41.87307357788086
133 ,model/expanded_conv_3/expand/BatchNorm/FusedBatchNormV3;model/expanded_conv_10/project/Conv2D;model/expanded_conv_3/expand/Conv2D1, 1691.308553890306, 30.904482886904763, 87.0, -128.0, 65.0, -65.0, 141.63414001464844, 8.943222045898438, 27.491355895996094, -34.725921630859375, 21.124937057495117, -16.494813919067383
134 ,model/multiply_1/mul;model/tf.__operators__.add/y;model/re_lu_7/Relu6;model/tf.__operators__.add_2/AddV2;model/tf.math.multiply/Mul/y;model/tf.math.multiply_2/Mul, 1730.7544509991496, 21.116084715136054, 52.0, -128.0, 10.0, -128.0, 41.45867919921875, 3.268160581588745, 27.549264907836914, -0.30954229831695557, 21.04887580871582, -0.30954229831695557
135 ,model/expanded_conv_3/depthwise/pad/Pad, 1411.9786572147068, 17.226857873742627, 52.0, -128.0, 10.0, -128.0, 33.822689056396484, 2.6662206649780273, 27.549264907836914, -0.30954229831695557, 21.04887580871582, -0.30954229831695557
136 ,model/expanded_conv_3/depthwise/BatchNorm/FusedBatchNormV3;model/expanded_conv_3/depthwise/depthwise;model/expanded_conv_10/project/Conv2D1, 1408.5458120748299, 18.8484268707483, 127.0, -128.0, 105.0, 38.0, 117.6933822631836, 5.448358058929443, 16.476516723632812, -57.234214782714844, 10.117158889770508, -9.249974250793457
137 ,model/multiply_2/mul;model/tf.__operators__.add/y;model/re_lu_8/Relu6;model/tf.__operators__.add_3/AddV2;model/tf.math.multiply/Mul/y;model/tf.math.multiply_3/Mul, 5027.653698979592, 37.06303146258504, 126.0, -128.0, 30.0, -128.0, 22.189868927001953, 2.4622695446014404, 16.475793838500977, -0.39860790967941284, 10.098067283630371, -0.39860790967941284
138 ,model/expanded_conv_3/squeeze_excite/AvgPool/Mean, 5311.21875, 45.135416666666664, 127.0, -128.0, 97.0, -128.0, 6.911520481109619, 1.6281976699829102, 8.874110221862793, -0.32466256618499756, 7.791901588439941, -0.32466256618499756
139 ,model/expanded_conv_3/squeeze_excite/Relu/Relu;model/expanded_conv_3/squeeze_excite/Conv/BiasAdd;model/expanded_conv_3/squeeze_excite/Conv/Conv2D;model/expanded_conv_3/squeeze_excite/Conv/BiasAdd/ReadVariableOp/resource, 1593.0416666666667, 15.875, 127.0, -128.0, 53.0, -128.0, 0.9183976054191589, 0.3811672627925873, 6.12268590927124, 0.0, 4.345906734466553, 0.0
140 ,model/re_lu_9/Relu6;model/tf.__operators__.add_4/AddV2;model/expanded_conv_3/squeeze_excite/Conv_1/BiasAdd;model/expanded_conv_10/project/Conv2D;model/expanded_conv_3/squeeze_excite/Conv_1/Conv2D;model/expanded_conv_3/squeeze_excite/Conv_1/BiasAdd/ReadVariableOp/resource;model/tf.__operators__.add/y1, 168.54166666666666, 3.1875, 127.0, -43.0, 127.0, -23.0, 0.09331026673316956, 0.07499999552965164, 6.0, 2.0, 6.0, 2.470588207244873
141 ,model/tf.math.multiply_4/Mul, 168.54166666666666, 3.1875, 127.0, -43.0, 127.0, -23.0, 0.0025919517502188683, 0.012500000186264515, 1.0, 0.3333333432674408, 1.0, 0.4117647409439087
142 ,model/expanded_conv_3/squeeze_excite/Mul/mul, 4850.502338435374, 35.884778911564624, 126.0, -128.0, 0.0, -128.0, 21.40799903869629, 2.383992910385132, 16.475793838500977, -0.39860790967941284, 8.105027198791504, -0.39860790967941284
143 ,model/expanded_conv_3/project/BatchNorm/FusedBatchNormV3;model/expanded_conv_7/squeeze_excite/Conv/Conv2D;model/expanded_conv_3/project/Conv2D1, 6604.679974489796, 67.4389030612245, 127.0, -128.0, 42.0, -68.0, 925.1688842773438, 25.240333557128906, 52.77202224731445, -42.66674041748047, 20.9591007232666, -20.210561752319336
144 ,model/expanded_conv_4/expand/BatchNorm/FusedBatchNormV3;model/expanded_conv_5/squeeze_excite/Conv_1/Conv2D;model/expanded_conv_4/expand/Conv2D1, 488.765943877551, 13.096641156462585, 109.0, -123.0, 31.0, -55.0, 24.656688690185547, 2.941554069519043, 26.727840423583984, -25.380218505859375, 9.208751678466797, -10.107166290283203
145 ,model/multiply_3/mul;model/tf.__operators__.add/y;model/re_lu_10/Relu6;model/tf.__operators__.add_5/AddV2;model/tf.math.multiply/Mul/y;model/tf.math.multiply_5/Mul, 715.199468537415, 11.99249574829932, 93.0, -128.0, -50.0, -128.0, 10.704376220703125, 1.4671571254730225, 26.670034408569336, -0.36701881885528564, 9.175470352172852, -0.36701881885528564
146 ,model/expanded_conv_4/depthwise/BatchNorm/FusedBatchNormV3;model/expanded_conv_4/depthwise/depthwise;model/expanded_conv_5/squeeze_excite/Conv_1/Conv2D1, 196.66379676870747, 6.641390306122449, 127.0, -128.0, 58.0, -21.0, 32.73379135131836, 2.709536075592041, 46.50940704345703, -57.5247917175293, 18.358976364135742, -13.87122631072998
147 ,model/multiply_4/mul;model/tf.__operators__.add/y;model/re_lu_11/Relu6;model/tf.__operators__.add_6/AddV2;model/tf.math.multiply/Mul/y;model/tf.math.multiply_6/Mul, 584.2423894557824, 7.226828231292517, 127.0, -128.0, -26.0, -128.0, 19.8076229095459, 1.3306608200073242, 46.58436584472656, -0.3682558536529541, 18.412792205810547, -0.3682558536529541
148 ,model/expanded_conv_4/squeeze_excite/AvgPool/Mean, 4331.816666666667, 37.975, 127.0, -128.0, 15.0, -127.0, 1.4308842420578003, 0.6901841759681702, 4.252879619598389, -0.38166865706443787, 2.217313289642334, -0.36349397897720337
