layer_loc, layername, MSE, MAE, max_m, min_m, max_n, min_n,norm MSE, norm MAE, norm_max_m, norm_min_m, norm_max_n, norm_min_n 
413 ,model/conv3_block1_concat/concat, 3.7869738520408163, 1.320248724489796, 59.0, -74.0, 61.0, -74.0, 0.001201897975988686, 0.023520326241850853, 1.0867195129394531, -1.2826852798461914, 1.1223496198654175, -1.2826852798461914
414 ,model/conv3_block2_0_bn/FusedBatchNormV32, 5.343941326530612, 1.4151785714285714, 63.0, -102.0, 66.0, -102.0, 0.0007362128235399723, 0.01661047711968422, 0.739454448223114, -1.1972119808197021, 0.7746665477752686, -1.1972119808197021
415 ,model/conv3_block2_0_relu/Relu;model/conv3_block2_0_bn/FusedBatchNormV3, 11.232724808673469, 1.6413185586734693, 36.0, -128.0, 32.0, -128.0, 0.00038788115489296615, 0.009644943289458752, 0.9637194275856018, 0.0, 0.9402140974998474, 0.0
416 ,model/conv3_block2_1_relu/Relu;model/conv3_block2_1_bn/FusedBatchNormV3;model/conv5_block16_1_conv/Conv2D;model/conv3_block2_1_conv/Conv2D, 30.703503667091837, 2.887316645408163, 33.0, -128.0, 23.0, -128.0, 0.00040334215736947954, 0.010464951395988464, 0.5835373997688293, 0.0, 0.5472928285598755, 0.0
417 ,model/conv3_block2_2_conv/Conv2D1, 4.422831632653061, 1.5644132653061225, 36.0, -47.0, 34.0, -47.0, 0.001403704285621643, 0.027870139107108116, 0.6769728064537048, -0.8016782999038696, 0.6413426399230957, -0.8016782999038696
418 ,model/conv3_block2_concat/concat, 3.8929501488095237, 1.3609428146258504, 59.0, -74.0, 61.0, -74.0, 0.0012355322251096368, 0.02424529567360878, 1.0867195129394531, -1.2826852798461914, 1.1223496198654175, -1.2826852798461914
419 ,model/conv3_block3_0_bn/FusedBatchNormV32, 4.782811171343537, 1.324929581207483, 46.0, -83.0, 45.0, -83.0, 0.0005712786805815995, 0.014480222947895527, 0.6010977625846863, -0.8087496757507324, 0.5901687145233154, -0.8087496757507324
420 ,model/conv3_block3_0_relu/Relu;model/conv3_block3_0_bn/FusedBatchNormV3, 11.617699032738095, 1.6702872555272108, 24.0, -128.0, 19.0, -128.0, 0.0003574556321837008, 0.009264931082725525, 0.8431301116943359, 0.0, 0.8153955936431885, 0.0
421 ,model/conv3_block3_1_relu/Relu;model/conv3_block3_1_bn/FusedBatchNormV3;model/conv5_block16_1_conv/Conv2D;model/conv3_block3_1_conv/Conv2D, 23.245326450892858, 2.160106425382653, 3.0, -128.0, 7.0, -128.0, 0.00041984397103078663, 0.009180181659758091, 0.5567336082458496, 0.0, 0.5737330913543701, 0.0
422 ,model/conv3_block3_2_conv/Conv2D1, 3.1729910714285716, 1.3293207908163265, 30.0, -36.0, 28.0, -36.0, 0.0010070338612422347, 0.023681947961449623, 0.5700823664665222, -0.6057125329971313, 0.5344521999359131, -0.6057125329971313
423 ,model/conv3_block3_concat/concat, 3.7900988520408165, 1.3564253826530612, 59.0, -74.0, 61.0, -74.0, 0.001202889485284686, 0.024164816364645958, 1.0867195129394531, -1.2826852798461914, 1.1223496198654175, -1.2826852798461914
424 ,model/conv3_block4_0_bn/FusedBatchNormV32, 6.305490388119534, 1.6819595025510203, 78.0, -116.0, 84.0, -116.0, 0.0007486671674996614, 0.018327385187149048, 0.7627514004707336, -1.351159691810608, 0.8281301259994507, -1.351159691810608
425 ,model/conv3_block4_0_relu/Relu;model/conv3_block4_0_bn/FusedBatchNormV3, 16.22006536989796, 2.081558627915452, 28.0, -128.0, 28.0, -128.0, 0.00037227969733066857, 0.009972340427339077, 0.747365415096283, 0.0, 0.747365415096283, 0.0
426 ,model/conv3_block4_1_relu/Relu;model/conv3_block4_1_bn/FusedBatchNormV3;model/conv5_block16_1_conv/Conv2D;model/conv3_block4_1_conv/Conv2D, 18.676688058035715, 2.0622508769132653, 73.0, -128.0, 61.0, -128.0, 0.00047281611477956176, 0.01037618424743414, 1.0113285779953003, 0.0, 0.9509508013725281, 0.0
427 ,model/conv3_block4_2_conv/Conv2D1, 3.4505341198979593, 1.3767936862244898, 29.0, -40.0, 29.0, -41.0, 0.0010951197473332286, 0.02452768199145794, 0.55226731300354, -0.6769728064537048, 0.55226731300354, -0.694787859916687
428 ,model/conv3_block4_concat/concat, 3.7476532605229593, 1.3589714205994898, 59.0, -74.0, 61.0, -74.0, 0.0011894184863194823, 0.02421017549932003, 1.0867195129394531, -1.2826852798461914, 1.1223496198654175, -1.2826852798461914
429 ,model/conv3_block5_0_bn/FusedBatchNormV32, 4.601866430165816, 1.2073850047831634, 47.0, -101.0, 45.0, -101.0, 0.0005379762151278555, 0.0130545012652874, 0.6703571081161499, -0.9298502206802368, 0.6487327218055725, -0.9298502206802368
430 ,model/conv3_block5_0_relu/Relu;model/conv3_block5_0_bn/FusedBatchNormV3, 8.039351482780612, 1.3634705835459184, 4.0, -128.0, 3.0, -128.0, 0.00037883114418946207, 0.009359616786241531, 0.9061211347579956, 0.0, 0.8992565870285034, 0.0
431 ,model/conv3_block5_1_relu/Relu;model/conv3_block5_1_bn/FusedBatchNormV3;model/conv5_block16_1_conv/Conv2D;model/conv3_block5_1_conv/Conv2D, 12.826450892857142, 1.3853435905612246, 22.0, -128.0, 11.0, -128.0, 0.00048057312960736454, 0.008479767479002476, 0.9181586503982544, 0.0, 0.8508269786834717, 0.0
432 ,model/conv3_block5_2_conv/Conv2D1, 2.764030612244898, 1.2488042091836735, 30.0, -45.0, 31.0, -43.0, 0.0008772393339313567, 0.022247537970542908, 0.5700823664665222, -0.7660481929779053, 0.5878974199295044, -0.7304180264472961
433 ,model/conv3_block5_concat/concat, 3.6383618551587302, 1.3467306193310657, 59.0, -74.0, 61.0, -74.0, 0.0011547318426892161, 0.023992104455828667, 1.0867195129394531, -1.2826852798461914, 1.1223496198654175, -1.2826852798461914
434 ,model/conv3_block6_0_bn/FusedBatchNormV32, 1.6705197704081634, 0.7797353316326531, 39.0, -55.0, 37.0, -55.0, 0.0003625103854574263, 0.011486340314149857, 0.618705153465271, -0.766015887260437, 0.5892429947853088, -0.766015887260437
435 ,model/conv3_block6_0_relu/Relu;model/conv3_block6_0_bn/FusedBatchNormV3, 4.231234941893424, 1.0385620393990929, -29.0, -128.0, -33.0, -128.0, 0.00022684322902932763, 0.0076043447479605675, 0.7248774170875549, 0.0, 0.6955894231796265, 0.0
436 ,model/conv3_block6_1_relu/Relu;model/conv3_block6_1_bn/FusedBatchNormV3;model/conv5_block16_1_conv/Conv2D;model/conv3_block6_1_conv/Conv2D, 11.614676339285714, 1.6416613520408163, -24.0, -128.0, -19.0, -128.0, 0.00030607031658291817, 0.008427341468632221, 0.5338760018348694, 0.0, 0.5595431327819824, 0.0
437 ,model/conv3_block6_2_conv/Conv2D1, 3.1935985331632653, 1.2866310586734695, 24.0, -38.0, 22.0, -38.0, 0.0010135741904377937, 0.022921428084373474, 0.4631919264793396, -0.6413426399230957, 0.42756175994873047, -0.6413426399230957
438 ,model/conv3_block6_concat/concat, 3.5938855229591837, 1.3407206632653061, 59.0, -74.0, 61.0, -74.0, 0.001140616019256413, 0.023885035887360573, 1.0867195129394531, -1.2826852798461914, 1.1223496198654175, -1.2826852798461914
439 ,model/conv3_block7_0_bn/FusedBatchNormV32, 5.104946588010204, 1.4553930165816327, 36.0, -87.0, 35.0, -86.0, 0.0007063103839755058, 0.017119161784648895, 0.6351786851882935, -0.8116172552108765, 0.6234161257743835, -0.7998546957969666
440 ,model/conv3_block7_0_relu/Relu;model/conv3_block7_0_bn/FusedBatchNormV3, 9.251299426020408, 1.58359375, -11.0, -128.0, -10.0, -128.0, 0.0003896415582858026, 0.010277205146849155, 0.7593064904212952, 0.0, 0.7657962441444397, 0.0
441 ,model/conv3_block7_1_relu/Relu;model/conv3_block7_1_bn/FusedBatchNormV3;model/conv5_block16_1_conv/Conv2D;model/conv3_block7_1_conv/Conv2D, 6.210140306122449, 1.0746970663265305, -32.0, -128.0, -38.0, -128.0, 0.0005815806798636913, 0.010400168597698212, 0.9290210008621216, 0.0, 0.8709571957588196, 0.0
442 ,model/conv3_block7_2_conv/Conv2D1, 2.960658482142857, 1.283123405612245, 24.0, -28.0, 25.0, -29.0, 0.0009396445821039379, 0.022858938202261925, 0.4631919264793396, -0.4631919264793396, 0.48100700974464417, -0.48100700974464417
443 ,model/conv3_block7_concat/concat, 3.536319428339518, 1.3354845489332097, 59.0, -74.0, 61.0, -74.0, 0.0011223460314795375, 0.023791754618287086, 1.0867195129394531, -1.2826852798461914, 1.1223496198654175, -1.2826852798461914
444 ,model/conv3_block8_0_bn/FusedBatchNormV32, 7.11662584067718, 1.7742818007884973, 82.0, -89.0, 74.0, -89.0, 0.0005696009611710906, 0.015873435884714127, 0.7693904042243958, -0.7604439854621887, 0.6978192329406738, -0.7604439854621887
445 ,model/conv3_block8_0_relu/Relu;model/conv3_block8_0_bn/FusedBatchNormV3, 13.731711647727273, 1.9526575544990723, 44.0, -128.0, 50.0, -128.0, 0.0003193872980773449, 0.009417218156158924, 0.8295164108276367, 0.0, 0.8584529757499695, 0.0
446 ,model/conv3_block8_1_relu/Relu;model/conv3_block8_1_bn/FusedBatchNormV3;model/conv5_block16_1_conv/Conv2D;model/conv3_block8_1_conv/Conv2D, 11.041922433035714, 1.3454340720663265, 8.0, -128.0, 11.0, -128.0, 0.0003629887942224741, 0.007714124862104654, 0.77976393699646, 0.0, 0.7969646453857422, 0.0
447 ,model/conv3_block8_2_conv/Conv2D1, 1.9689492984693877, 1.0482700892857142, 33.0, -28.0, 34.0, -29.0, 0.0006248989375308156, 0.018675008788704872, 0.6235275864601135, -0.4631919264793396, 0.6413426399230957, -0.48100700974464417
448 ,model/conv3_block8_concat/concat, 3.4057052508503403, 1.3115500106292517, 59.0, -74.0, 61.0, -74.0, 0.0010808920487761497, 0.023365357890725136, 1.0867195129394531, -1.2826852798461914, 1.1223496198654175, -1.2826852798461914
449 ,model/conv3_block9_0_bn/FusedBatchNormV32, 4.443661644345238, 1.3387841464710883, 61.0, -62.0, 63.0, -62.0, 0.0005372650339268148, 0.014720899052917957, 0.5937690138816833, -0.7587048411369324, 0.6157604455947876, -0.7587048411369324
