layer_loc, layername, MSE, MAE, max_m, min_m, max_n, min_n,norm MSE, norm MAE, norm_max_m, norm_min_m, norm_max_n, norm_min_n 
197 ,model_3/conv3_block4_preact_relu/Relu;model_3/conv3_block4_preact_bn/FusedBatchNormV3, 4.459729253029336, 0.7052151426977041, -1.0, -128.0, -9.0, -128.0, 0.015989435836672783, 0.042226392775774, 7.604419231414795, 0.0, 7.125400543212891, 0.0
198 ,model_3/conv3_block4_1_relu/Relu;model_3/conv3_block4_1_bn/FusedBatchNormV3;model_3/conv3_block4_2_conv/Conv2D;model_3/conv3_block4_1_conv/Conv2D, 8.53988958864796, 1.233448262117347, 3.0, -128.0, 7.0, -128.0, 0.08159825950860977, 0.1205689013004303, 12.805177688598633, 0.0, 13.196175575256348, 0.0
199 ,model_3/conv3_block4_2_pad/Pad, 7.439192708333334, 1.0744704861111112, 3.0, -128.0, 7.0, -128.0, 0.07108115404844284, 0.10502889007329941, 12.805177688598633, 0.0, 13.196175575256348, 0.0
200 ,model_3/conv3_block4_2_relu/Relu;model_3/conv3_block4_2_bn/FusedBatchNormV3;model_3/conv3_block4_2_conv/Conv2D, 17.174306441326532, 1.9475845025510203, 12.0, -128.0, 10.0, -128.0, 0.21829338371753693, 0.2195720225572586, 15.783696174621582, 0.0, 15.558215141296387, 0.0
201 ,model_3/conv3_block4_3_conv/BiasAdd;model_3/conv5_block3_2_conv/Conv2D;model_3/conv3_block4_3_conv/Conv2D;model_3/conv3_block4_3_conv/BiasAdd/ReadVariableOp/resource1, 2.032924107142857, 0.9193239795918368, 69.0, -55.0, 65.0, -57.0, 0.023930929601192474, 0.09974423050880432, 7.052328586578369, -6.4013447761535645, 6.618339538574219, -6.618339538574219
202 ,model_3/max_pooling2d_1/MaxPool, 5.298977598852041, 1.7104093590561225, 68.0, -93.0, 70.0, -95.0, 0.06882426887750626, 0.19492827355861664, 8.09157657623291, -10.256927490234375, 8.319507598876953, -10.484859466552734
203 ,model_3/conv3_block4_out/add, 5.573341836734694, 1.7516342474489797, 72.0, -66.0, 70.0, -67.0, 0.09828310459852219, 0.23260819911956787, 8.233287811279297, -10.092416763305664, 7.967697620391846, -10.225212097167969
204 ,model_3/conv4_block1_preact_bn/FusedBatchNormV32, 7.277393574617347, 1.8810287786989797, 84.0, -61.0, 86.0, -65.0, 0.13031461834907532, 0.2517121136188507, 8.831868171691895, -10.571478843688965, 9.09950065612793, -11.106742858886719
205 ,model_3/conv4_block1_preact_relu/Relu;model_3/conv4_block1_preact_bn/FusedBatchNormV3, 7.75423509247449, 1.164889588647959, -4.0, -128.0, -4.0, -128.0, 0.024596961215138435, 0.06560788303613663, 6.983818054199219, 0.0, 6.983818054199219, 0.0
206 ,model_3/conv4_block1_0_conv/BiasAdd;model_3/conv4_block6_3_conv/Conv2D;model_3/conv4_block1_0_conv/Conv2D;model_3/conv4_block1_0_conv/BiasAdd/ReadVariableOp/resource1, 3.2854153380102042, 1.3133769132653061, 70.0, -94.0, 71.0, -94.0, 0.007329275365918875, 0.0620332770049572, 4.723189830780029, -3.022841453552246, 4.770421504974365, -3.022841453552246
207 ,model_3/conv4_block1_1_relu/Relu;model_3/conv4_block1_1_bn/FusedBatchNormV3;model_3/conv4_block6_2_conv/Conv2D;model_3/conv4_block1_1_conv/Conv2D, 4.626175860969388, 1.0700135522959184, -38.0, -128.0, -36.0, -128.0, 0.024589210748672485, 0.07801002264022827, 6.561508655548096, 0.0, 6.707320213317871, 0.0
208 ,model_3/conv4_block1_2_pad/Pad, 3.5419158935546875, 0.8192291259765625, -38.0, -128.0, -36.0, -128.0, 0.018826112151145935, 0.05972642824053764, 6.561508655548096, 0.0, 6.707320213317871, 0.0
209 ,model_3/conv4_block1_2_relu/Relu;model_3/conv4_block1_2_bn/FusedBatchNormV3;model_3/conv4_block6_2_conv/Conv2D;model_3/conv4_block1_2_conv/Conv2D, 2.467075892857143, 0.6468829719387755, -3.0, -128.0, -6.0, -128.0, 0.01174673717468977, 0.0446368083357811, 8.62536334991455, 0.0, 8.418354034423828, 0.0
210 ,model_3/conv4_block1_3_conv/BiasAdd;model_3/conv4_block6_3_conv/Conv2D;model_3/conv4_block1_3_conv/Conv2D;model_3/conv4_block1_3_conv/BiasAdd/ReadVariableOp/resource1, 0.7418686224489796, 0.5219228316326531, 86.0, -17.0, 86.0, -19.0, 0.0022056156303733587, 0.02845821902155876, 2.9989144802093506, -2.617234468460083, 2.9989144802093506, -2.726285934448242
211 ,model_3/conv4_block1_out/add, 3.0119479432397958, 1.2626654177295917, 101.0, -32.0, 101.0, -34.0, 0.010111737996339798, 0.07316063344478607, 4.751196384429932, -2.955012559890747, 4.751196384429932, -3.0708954334259033
212 ,model_3/conv4_block2_preact_bn/FusedBatchNormV32, 1.5818319515306123, 0.7695212850765306, 56.0, -78.0, 57.0, -74.0, 0.03682979196310043, 0.11741945892572403, 10.528550148010254, -9.91819953918457, 10.681138038635254, -9.307848930358887
