layer_loc, layername, MSE, MAE, max_m, min_m, max_n, min_n,norm MSE, norm MAE, norm_max_m, norm_min_m, norm_max_n, norm_min_n 
340 ,model/conv5_block11_2_conv/Conv2D, 0.0, 0.0, 127.0, -46.0, 127.0, -46.0, 0.0, 0.0, 127.0, -46.0, 127.0, -46.0
341 ,model/conv5_block12_0_bn/FusedBatchNormV31, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 2.484046459197998, -3.1715950965881348, 2.484046459197998, -3.1715950965881348
342 ,model/conv5_block12_0_bn/FusedBatchNormV3, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 0.2438361942768097, -0.18795707821846008, 0.2438361942768097, -0.18795707821846008
343 ,model/conv5_block12_1_conv/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
344 ,model/conv5_block12_1_bn/FusedBatchNormV3, 110072071.1171875, 9590.3671875, 127.0, -119.0, 1374.0, -20701.0, 110072071.1171875, 9590.3671875, 127.0, -119.0, 1374.0, -20701.0
345 ,model/conv5_block12_2_conv/Conv2D, 0.0, 0.0, 127.0, -63.0, 127.0, -63.0, 0.0, 0.0, 127.0, -63.0, 127.0, -63.0
346 ,model/conv5_block13_0_bn/FusedBatchNormV31, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 2.5993411540985107, -0.010233626700937748, 2.5993411540985107, -0.010233626700937748
347 ,model/conv5_block13_0_bn/FusedBatchNormV3, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 0.24846704304218292, -0.1739269345998764, 0.24846704304218292, -0.1739269345998764
348 ,model/conv5_block13_1_conv/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
349 ,model/conv5_block13_1_bn/FusedBatchNormV3, 97510096.53125, 8792.71875, 125.0, -118.0, 2215.0, -21573.0, 97510096.53125, 8792.71875, 125.0, -118.0, 2215.0, -21573.0
350 ,model/conv5_block13_2_conv/Conv2D, 0.0, 0.0, 127.0, -57.0, 127.0, -57.0, 0.0, 0.0, 127.0, -57.0, 127.0, -57.0
351 ,model/conv5_block14_0_bn/FusedBatchNormV31, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 2.5722272396087646, 0.0, 2.5722272396087646, 0.0
352 ,model/conv5_block14_0_bn/FusedBatchNormV3, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 0.19443605840206146, -0.2367047667503357, 0.19443605840206146, -0.2367047667503357
353 ,model/conv5_block14_1_conv/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
