layer_loc, layername, MSE, MAE, max_m, min_m, max_n, min_n,norm MSE, norm MAE, norm_max_m, norm_min_m, norm_max_n, norm_min_n 
165 ,model/expanded_conv_5/Add/add, 159.66501111814637, 11.130297274826741, 43.0, -31.0, 28.6575927734375, -31.69654083251953, 44.62283367977149, 5.267563413653751, 34.305641174316406, -42.62215805053711, 28.6575927734375, -31.69654083251953
166 ,model/expanded_conv_6/expand/BatchNorm/FusedBatchNormV3;model/expanded_conv_6/squeeze_excite/Conv_1/Conv2D;model/expanded_conv_6/expand/Conv2D1, 120.38392488775085, 7.661583743126331, 83.0, -41.0, 11.834213256835938, -5.9062819480896, 0.8263398027469947, 0.6000556021045773, 12.262919425964355, -5.8394856452941895, 11.834213256835938, -5.9062819480896
167 ,model/multiply_7/mul;model/tf.__operators__.add/y;model/re_lu_16/Relu6;model/tf.__operators__.add_11/AddV2;model/tf.math.multiply/Mul/y;model/tf.math.multiply_11/Mul, 12963.235176436152, 112.37048218439809, 41.0, -128.0, 11.834213256835938, -0.375, 0.5651285826515116, 0.4397150833945286, 12.23602294921875, -0.3730494976043701, 11.834213256835938, -0.375
168 ,model/expanded_conv_6/depthwise/BatchNorm/FusedBatchNormV3;model/expanded_conv_6/depthwise/depthwise;model/expanded_conv_6/squeeze_excite/Conv_1/Conv2D1, 385.1746794225572, 18.468375319690715, 64.0, -26.0, 16.042163848876953, -8.456033706665039, 1.1854644937034835, 0.7433278517946474, 14.414312362670898, -11.022708892822266, 16.042163848876953, -8.456033706665039
169 ,model/multiply_8/mul;model/tf.__operators__.add/y;model/re_lu_17/Relu6;model/tf.__operators__.add_12/AddV2;model/tf.math.multiply/Mul/y;model/tf.math.multiply_12/Mul, 12462.524024993992, 110.48337462252134, -12.0, -128.0, 16.042163848876953, -0.37499991059303284, 0.9762264657641243, 0.6425583737054524, 14.47305679321289, -0.38424044847488403, 16.042163848876953, -0.37499991059303284
170 ,model/expanded_conv_6/squeeze_excite/AvgPool/Mean, 6921.919919816019, 76.03162454445071, 121.0, -126.0, 9.16868782043457, -0.3328145146369934, 0.1371514456011296, 0.23785218617413192, 9.121063232421875, -0.2660309970378876, 9.16868782043457, -0.3328145146369934
171 ,model/expanded_conv_6/squeeze_excite/Relu/Relu;model/expanded_conv_6/squeeze_excite/Conv/BiasAdd;model/expanded_conv_6/squeeze_excite/Conv/Conv2D;model/expanded_conv_6/squeeze_excite/Conv/BiasAdd/ReadVariableOp/resource, 16384.0, 128.0, -128.0, -128.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
172 ,model/re_lu_18/Relu6;model/tf.__operators__.add_13/AddV2;model/expanded_conv_6/squeeze_excite/Conv_1/BiasAdd;model/expanded_conv_6/squeeze_excite/Conv_1/Conv2D;model/expanded_conv_6/squeeze_excite/Conv_1/BiasAdd/ReadVariableOp/resource;model/tf.__operators__.add/y1, 15902.738871575773, 125.94090100725492, -94.0, -127.0, 6.0, 1.0343745946884155, 15.475388340957753, 3.5800186504765104, 0.800000011920929, 0.0235294122248888, 6.0, 1.0343745946884155
173 ,model/tf.math.multiply_13/Mul, 15122.914774611987, 122.84431684439382, -94.0, -127.0, 1.0, 0.1723957657814026, 0.4298719087116917, 0.5966697840912578, 0.13333334028720856, 0.003921568859368563, 1.0, 0.1723957657814026
174 ,model/expanded_conv_6/squeeze_excite/Mul/mul, 14266.009752808273, 119.39917459855687, -86.0, -120.0, 8.016958236694336, -0.37499940395355225, 2.3400121198169943, 1.1268073591327596, 1.5472924709320068, 0.0, 8.016958236694336, -0.37499940395355225
175 ,model/expanded_conv_6/project/BatchNorm/FusedBatchNormV3;model/expanded_conv_7/project/Conv2D;model/expanded_conv_6/project/Conv2D1, 2302.7582318470727, 38.13771705358562, 76.0, -128.0, 24.127826690673828, -24.639354705810547, 228.28703518797656, 11.970277289726905, 26.430906295776367, -37.00326919555664, 24.127826690673828, -24.639354705810547
176 ,model/expanded_conv_7/expand/BatchNorm/FusedBatchNormV3;model/expanded_conv_10/squeeze_excite/Conv/Conv2D;model/expanded_conv_7/expand/Conv2D1, 339.55324274790934, 13.955865010066368, 57.0, -79.0, 11.648822784423828, -10.504691123962402, 4.872049040469181, 1.4166032654656626, 10.453635215759277, -10.765684127807617, 11.648822784423828, -10.504691123962402
177 ,model/multiply_9/mul;model/tf.__operators__.add/y;model/re_lu_19/Relu6;model/tf.__operators__.add_14/AddV2;model/tf.math.multiply/Mul/y;model/tf.math.multiply_14/Mul, 13899.542063228208, 116.33333944888308, -1.0, -128.0, 11.648822784423828, -0.375, 1.8645987116556608, 0.7409847725987001, 10.456686019897461, -0.34005483984947205, 11.648822784423828, -0.375
178 ,model/expanded_conv_7/depthwise/BatchNorm/FusedBatchNormV3;model/expanded_conv_7/depthwise/depthwise;model/expanded_conv_10/squeeze_excite/Conv/Conv2D1, 522.9930652961048, 21.634113472149746, 61.0, -9.0, 12.77675724029541, -33.05803298950195, 10.91606260601295, 2.0125516251970534, 16.886016845703125, -12.664512634277344, 12.77675724029541, -33.05803298950195
179 ,model/multiply_10/mul;model/tf.__operators__.add/y;model/re_lu_20/Relu6;model/tf.__operators__.add_15/AddV2;model/tf.math.multiply/Mul/y;model/tf.math.multiply_15/Mul, 14906.615791234328, 121.30596163636338, -31.0, -128.0, 12.77675724029541, -0.375, 6.648371879442522, 1.1226795482337972, 16.8091983795166, -0.35387787222862244, 12.77675724029541, -0.375
180 ,model/expanded_conv_7/squeeze_excite/AvgPool/Mean, 10382.826200379695, 96.74574033018467, 127.0, -128.0, 1.1947298049926758, -0.3142855167388916, 0.8635105208957121, 0.5752613286232291, 2.473095417022705, -0.3548836410045624, 1.1947298049926758, -0.3142855167388916
181 ,model/expanded_conv_7/squeeze_excite/Relu/Relu;model/expanded_conv_7/squeeze_excite/Conv/BiasAdd;model/expanded_conv_7/squeeze_excite/Conv/Conv2D;model/expanded_conv_7/squeeze_excite/Conv/BiasAdd/ReadVariableOp/resource, 11652.00704253992, 100.42740938961506, 127.0, -128.0, 1.2749943733215332, 0.0, 0.6448687817009912, 0.5794951740652323, 2.1425397396087646, 0.0, 1.2749943733215332, 0.0
182 ,model/re_lu_21/Relu6;model/tf.__operators__.add_16/AddV2;model/expanded_conv_7/squeeze_excite/Conv_1/BiasAdd;model/expanded_conv_10/squeeze_excite/Conv/Conv2D;model/expanded_conv_7/squeeze_excite/Conv_1/Conv2D;model/expanded_conv_7/squeeze_excite/Conv_1/BiasAdd/ReadVariableOp/resource;model/tf.__operators__.add/y1, 8797.15357637578, 86.55771941515721, 127.0, -128.0, 5.738834857940674, 0.0, 0.5677824285154889, 0.5615690341607357, 6.0, 0.0, 5.738834857940674, 0.0
183 ,model/tf.math.multiply_16/Mul, 8746.047529632739, 86.2839254604591, 127.0, -128.0, 0.9564725160598755, 0.0, 0.015771735335547186, 0.09359484337134442, 1.0, 0.0, 0.9564725160598755, 0.0
184 ,model/expanded_conv_7/squeeze_excite/Mul/mul, 11709.560230615263, 107.14104504837636, -13.0, -127.0, 1.2987486124038696, -0.31542345881462097, 0.13962757423212876, 0.17301319925808667, 2.272383213043213, -0.3443005084991455, 1.2987486124038696, -0.31542345881462097
